velx,vely,velz,posx,posy,posz
132.885,16.167,-3.551,-0.030,-3.674,-0.194
-111.502,86.085,-19.316,1.976,1.572,0.028
-23.469,18.433,20.631,0.059,0.324,0.309
32.498,-20.847,15.497,-0.196,0.394,-0.168
30.095,-55.213,74.028,-0.272,0.422,-0.096
-155.920,6.529,-9.134,0.654,6.091,-0.121
-80.895,-131.210,51.091,-2.924,1.481,0.252
63.462,-128.263,2.820,-7.283,-2.389,-0.427
4.215,-76.072,5.208,-2.492,-0.008,0.276
124.730,-26.903,-2.396,-3.367,-13.822,0.076
80.365,-111.284,-1.324,-5.152,-3.330,0.164
-77.929,119.709,-11.614,2.146,1.300,-0.091
73.965,-82.639,-22.607,-1.927,-1.253,-0.205
107.150,-95.305,-19.264,-2.399,-3.261,0.444
-124.579,-51.167,-0.480,-0.831,3.309,-0.002
-95.694,-104.700,11.500,-0.952,2.350,-0.105
-121.059,-66.021,-45.626,-2.163,2.394,-0.357
-90.475,-97.529,3.311,-5.773,6.564,-0.071
-97.556,-44.772,-32.762,-0.849,0.220,-0.173
128.257,-53.855,-39.451,-0.184,-1.486,0.031
90.594,-117.856,23.422,-2.959,-1.763,0.008
-10.540,113.799,6.570,3.306,-0.731,0.056
30.610,-124.665,12.940,-4.203,-0.760,0.058
-77.756,33.159,67.475,0.288,2.126,-0.292
4.031,140.141,4.758,4.533,-0.076,-0.185
101.258,-47.582,29.365,-1.105,-1.530,0.112
67.984,-97.315,-32.064,-2.163,-2.387,-0.208
91.307,11.245,8.339,0.237,-0.610,-0.133
-125.407,35.972,-27.243,1.387,3.438,0.036
-44.445,-4.737,-92.214,-0.038,0.618,-0.209
-14.909,-108.781,-34.833,-1.387,0.334,-0.615
-127.696,-39.147,-23.912,-0.662,1.385,0.324
132.194,35.820,9.147,1.406,-5.057,0.014
52.720,-123.794,-13.454,-5.134,-1.975,-0.120
-133.326,55.251,11.367,1.180,4.942,-0.112
137.012,-52.744,-3.562,-3.512,-7.094,-0.449
86.103,-71.651,4.925,-1.931,-0.787,0.448
122.242,-55.191,-37.786,0.192,-3.468,-0.208
-41.076,51.377,13.737,0.815,1.158,0.051
-41.217,139.699,1.366,3.660,1.359,0.133
57.667,45.861,48.687,0.524,-1.571,0.347
114.298,9.591,-12.540,0.913,-4.355,-0.131
-140.266,-64.994,18.988,-0.906,2.616,-0.154
87.915,-111.984,-5.538,-4.223,-3.094,-0.237
13.977,15.582,81.620,-0.244,-0.468,0.178
137.133,-9.095,13.115,0.219,-3.042,0.236
93.921,-15.876,-8.554,-0.245,-2.327,-0.078
-22.684,119.272,-97.025,0.845,0.545,-0.143
105.374,76.211,0.240,4.827,-6.030,0.447
-131.343,-3.864,-4.887,-0.294,2.113,0.039
32.642,95.333,-36.267,1.819,-0.403,0.380
-78.922,73.315,40.751,1.509,1.443,-0.019
-33.724,78.709,13.359,2.037,1.036,-0.380
118.896,63.510,-11.121,1.844,-4.260,0.140
9.583,135.402,-13.598,9.920,-0.321,0.296
-147.391,-23.721,25.382,-0.135,5.005,0.469
-2.633,123.561,1.616,1.063,-0.132,-0.694
-4.682,131.561,-6.107,1.500,0.269,-0.110
-64.938,-119.266,9.353,-8.433,4.308,0.110
65.239,43.431,-37.791,-0.448,-0.784,0.098
58.325,113.071,-4.153,2.717,-1.642,0.445
-102.381,81.166,-10.421,6.620,7.953,-0.329
-137.581,25.119,5.886,1.189,4.881,0.134
128.373,46.904,8.240,1.597,-6.596,0.071
30.405,131.493,8.010,4.315,0.398,0.109
-64.228,64.581,30.713,1.118,1.710,0.304
31.565,-120.901,-24.626,-3.384,-0.573,-0.104
-56.618,-118.134,14.925,-4.525,2.666,-0.129
-120.869,3.974,-1.941,0.896,3.025,-0.629
-121.341,-17.046,43.194,-0.335,0.981,0.489
-132.013,15.650,1.123,0.779,5.218,-0.163
37.568,0.801,-16.121,0.557,-0.980,0.033
19.503,-113.638,-7.444,-4.508,-0.706,-0.243
-91.743,48.033,-16.000,1.935,3.550,0.865
6.164,-71.094,59.963,-1.287,0.491,-0.392
-55.266,52.986,36.970,-0.418,0.289,-0.377
-110.136,-89.271,5.055,-3.452,4.952,-0.182
-108.049,81.210,10.264,5.054,6.386,-0.364
144.279,3.636,-17.016,0.900,-5.145,-0.183
-132.290,-2.387,-0.861,1.100,1.852,-0.523
74.258,45.270,13.352,0.961,-0.393,0.135
-34.303,-38.560,-35.370,-0.558,-0.106,-0.061
95.802,-89.339,-5.324,-2.074,-2.039,-0.000
81.420,107.132,9.971,6.124,-4.728,0.415
63.918,56.520,29.516,1.645,-1.270,-0.292
