velx,vely,velz,posx,posy,posz
-12.980,-143.880,-7.779,-1.001,0.153,0.451
-50.262,113.121,-51.989,3.014,0.157,-0.048
132.938,-57.789,43.054,-1.037,-1.438,-0.109
-109.594,61.248,-58.821,0.633,2.705,-0.167
-80.611,116.939,23.780,2.564,1.646,-0.001
149.985,-201.186,16.347,-4.396,-3.599,-0.281
-148.015,147.731,-45.235,1.856,1.334,0.252
-147.625,160.990,15.062,4.849,4.333,0.018
-37.638,241.669,-4.911,10.117,1.936,0.081
116.637,201.028,1.476,8.387,-5.550,0.416
-140.590,-206.861,12.629,-6.087,5.377,-0.109
-8.510,232.111,5.732,13.541,0.513,0.245
-145.854,40.173,8.093,1.595,3.688,0.037
-169.179,149.566,10.708,3.369,4.251,0.187
143.792,-123.810,25.276,-4.439,-5.567,-0.091
199.481,150.682,18.201,3.380,-4.177,-0.163
32.093,-227.487,30.258,-7.573,-1.045,0.581
-185.964,115.743,11.679,4.161,8.491,0.391
185.990,123.230,67.159,2.699,-3.641,0.340
29.622,181.642,-18.436,2.619,0.684,-0.080
166.514,-188.788,17.903,-9.071,-6.664,0.211
114.884,-23.033,-44.628,-0.367,-3.020,-0.311
77.302,150.413,40.024,2.313,-0.533,-0.075
-179.589,-95.922,35.095,-2.436,4.113,-0.403
114.845,63.572,-9.424,2.939,-2.312,-0.008
-133.513,128.617,-5.251,1.857,1.018,-0.213
-176.146,-143.721,-8.860,-7.239,7.783,0.176
-84.748,89.397,17.396,0.930,0.178,-0.531
73.037,218.305,-3.874,4.878,-2.192,-0.427
155.280,-119.216,-48.806,-3.303,-3.402,0.059
234.577,-114.393,8.427,-3.676,-6.146,0.346
-157.453,-23.604,-78.078,-1.174,1.795,0.048
-9.330,-137.437,-7.962,-0.347,-0.234,-0.093
-135.555,-54.969,3.364,-1.193,3.081,0.070
-161.497,173.430,8.923,6.598,6.689,-0.183
151.479,168.992,10.449,6.697,-5.370,-0.050
-101.701,-209.447,23.997,-5.743,3.090,-0.004
64.851,214.853,9.016,4.766,-1.955,0.388
-147.142,-130.697,54.356,-2.536,1.918,0.142
-206.393,21.385,9.181,0.368,4.264,0.130
-201.922,-19.813,15.152,-0.288,2.235,0.258
81.509,-136.666,33.081,-1.432,-0.848,-0.355
-155.198,114.037,-14.987,2.719,3.903,0.462
-85.479,152.742,2.917,4.843,2.747,-0.017
138.751,-91.524,30.583,-3.387,-3.674,-0.675
105.594,168.724,-9.902,4.456,-2.365,-0.077
-179.315,-144.768,8.716,-5.734,7.226,0.174
-31.436,94.027,92.118,2.866,0.704,-0.015
157.714,-57.013,-6.730,-1.249,-3.395,0.159
-139.895,-175.097,-20.277,-4.866,3.803,-0.145
-203.875,-4.279,-33.274,0.427,3.075,0.019
-155.956,-109.852,75.361,-0.923,0.696,0.317
-21.873,5.502,-56.037,0.543,0.607,0.068
-73.457,177.780,-35.782,6.392,3.376,-0.095
106.977,-228.246,12.704,-5.420,-2.489,-0.408
-72.592,-1.863,122.515,0.122,0.448,0.315
92.877,127.324,-39.660,1.705,-0.439,0.241
191.843,130.738,6.073,7.321,-9.594,0.204
-166.980,8.548,37.063,0.111,1.815,0.035
-121.972,206.208,3.526,7.305,2.477,0.284
-182.526,-88.989,-12.685,-3.073,3.875,-0.209
210.016,21.799,-26.369,0.528,-3.787,0.009
35.572,203.815,-27.871,5.755,-0.229,0.140
180.268,62.971,-41.797,0.968,-2.304,0.103
257.291,97.160,35.300,1.435,-3.599,-0.423
143.781,34.475,50.962,0.969,-2.747,-0.057
67.883,18.844,-64.748,1.193,-1.476,0.017
-63.717,181.581,1.665,3.228,0.545,-0.305
-102.406,-191.773,18.264,-7.161,3.825,0.074
-4.100,199.461,-4.711,5.223,-0.204,-0.109
-198.875,49.578,-59.616,0.178,4.086,-0.003
-191.423,113.155,4.018,2.353,3.787,-0.370
-205.717,-160.426,30.430,-3.184,3.898,0.055
138.933,-55.009,45.571,-0.701,-2.750,0.493
57.392,-222.853,-0.262,-9.914,-3.102,0.113
2.816,219.864,-8.155,14.117,-0.960,0.088
236.699,16.163,-9.796,0.258,-5.647,0.010
151.018,25.941,26.573,0.709,-1.748,0.005
-128.690,-43.132,-55.258,-0.911,2.797,0.085
-161.167,145.391,18.978,2.555,3.488,0.246
-137.753,144.601,-25.368,4.745,4.511,0.127
-154.465,-168.560,-0.299,-5.426,3.981,0.209
-44.682,239.598,-8.258,7.075,0.634,-0.260
-176.236,-139.229,-1.127,-1.837,2.939,-0.074
-70.049,-192.077,-30.753,-1.856,1.852,0.064
226.602,129.675,-18.771,1.496,-3.191,0.025
-6.965,228.322,30.783,5.061,0.558,-0.400
221.666,67.775,42.746,1.234,-3.389,-0.031
-158.309,170.499,2.701,4.436,4.034,-0.331
-66.103,215.093,-17.217,6.650,1.724,-0.342
1.201,212.243,11.028,11.415,-0.470,0.210
-89.951,-199.957,-55.787,-2.594,1.150,-0.053
131.259,-137.676,-6.994,-4.039,-2.672,0.237
56.214,112.981,25.433,2.748,-1.006,0.190
-63.572,-246.227,-32.375,-4.381,1.074,0.154
-216.866,13.751,-5.431,0.707,11.292,0.281
-219.732,-90.954,-1.757,-1.681,4.456,0.180
5.166,-221.285,28.191,-8.174,0.234,-0.305
-197.966,108.694,-7.377,6.183,11.062,-0.248
-83.001,-219.697,4.061,-14.589,5.217,-0.097
-214.989,-15.301,1.376,0.477,6.752,-0.289
-122.514,-137.911,39.635,-3.766,2.547,-0.311
-216.471,86.076,-3.566,6.188,14.786,0.172
-56.889,-36.904,15.255,-0.857,1.930,0.370
-64.709,-240.338,-15.151,-8.920,2.516,-0.053
-105.399,232.439,4.952,6.881,3.076,-0.211
167.256,145.507,-17.097,3.179,-4.695,-0.277
-183.896,50.681,25.347,2.174,5.492,0.235
59.042,-121.305,-58.162,-1.956,-1.071,-0.168
221.352,-91.770,25.258,-0.563,-2.291,-0.016
-74.281,-188.119,6.384,-10.777,4.632,0.004
188.110,45.883,-5.203,1.990,-3.360,0.491
-172.082,100.805,11.606,2.545,4.123,-0.086
-105.104,148.139,31.910,4.749,2.993,0.119
134.029,-172.922,12.808,-8.438,-5.663,-0.228
-127.548,208.457,26.922,7.576,4.200,-0.235
-171.322,125.787,16.278,1.911,2.515,-0.606
154.376,-179.894,-22.185,-3.782,-2.718,-0.159
203.550,-104.125,-6.709,-4.424,-9.312,0.051
-102.165,3.286,3.300,-0.807,1.317,0.350
-25.194,-148.199,-56.954,-1.923,-0.306,0.265
-109.057,-67.826,18.056,-0.637,0.773,0.223
-63.580,172.517,9.994,1.793,0.795,0.110
153.507,-2.153,33.795,-0.299,-2.029,-0.085
-31.460,120.164,-3.929,4.709,1.756,0.044
-74.063,184.764,6.307,4.921,1.345,-0.199
8.942,-39.550,39.047,-0.710,1.105,0.126
