velx,vely,velz,posx,posy,posz
-69.674,-3.184,-1.406,0.350,6.674,0.272
28.991,-51.131,-15.493,-1.359,-1.096,0.012
71.448,-21.490,11.232,-2.073,-5.941,0.306
53.384,19.448,1.639,2.741,-4.918,0.754
-34.564,52.905,-1.773,13.750,7.558,-0.158
56.587,37.652,-3.797,4.851,-8.201,-0.582
9.149,-34.869,4.976,-1.437,0.368,-0.128
-49.024,48.936,13.166,4.769,6.266,-0.422
25.933,28.572,-8.470,1.490,-0.093,-0.023
57.340,-2.285,0.224,-0.029,-21.016,0.403
7.159,-63.991,-2.004,-15.247,-0.872,-0.244
27.409,61.974,-10.500,4.977,-2.440,-0.747
-59.858,31.616,4.630,4.489,9.314,0.182
-42.304,-54.886,-1.152,-3.265,3.474,-0.061
22.696,57.050,-0.263,13.388,-5.348,-0.141
10.222,-49.235,16.243,-4.952,-1.065,-0.152
-37.537,-30.061,-11.824,-1.815,1.521,0.143
-7.106,-82.690,-6.544,-6.398,-0.609,0.173
59.990,-22.588,0.396,-2.757,-8.122,-0.742
66.972,-12.843,5.998,-0.817,-5.742,-0.264
-25.111,-56.415,5.843,-3.481,1.290,0.641
-41.853,-53.915,-2.391,-3.621,2.915,-0.754
66.154,-34.290,6.228,-2.205,-5.886,0.467
-64.742,-29.828,-13.423,-1.821,4.621,0.386
-59.707,3.195,-3.306,-1.295,1.562,-0.437
25.608,-82.601,-4.364,-2.768,-0.831,0.516
67.723,7.387,5.153,0.795,-11.017,-0.317
16.814,-59.075,-0.845,-7.411,-2.659,-0.080
-33.345,-65.258,9.496,-4.106,2.364,0.558
50.926,49.310,-4.856,6.011,-7.397,0.737
1.404,-58.385,3.133,-5.532,0.504,-0.104
70.974,-5.936,-6.364,0.089,-3.888,0.330
65.556,9.210,-6.633,1.963,-9.317,0.833
15.191,-28.794,-46.408,-0.977,-0.140,-0.570
-34.576,57.558,-3.248,8.530,6.741,0.339
-29.536,-60.925,4.374,-2.161,1.142,0.106
5.332,32.971,22.484,-0.173,-0.110,-0.170
-57.663,23.729,3.463,4.055,9.876,-0.189
