velx,vely,velz,posx,posy,posz
-12.980,-143.880,-14.843,-1.001,0.153,0.451
-14.368,135.553,-51.989,3.014,0.157,-0.048
132.938,-57.789,1.506,-1.037,-1.438,-0.109
-158.114,43.559,-43.977,0.633,2.705,-0.167
-167.039,110.801,-36.268,2.564,1.646,-0.001
121.043,-202.886,-22.453,-4.396,-3.599,-0.281
-97.584,173.534,7.916,1.856,1.334,0.252
-149.664,157.452,6.349,4.849,4.333,0.018
-44.819,234.731,-4.911,10.117,1.936,0.081
120.238,198.645,1.476,8.387,-5.550,0.416
-134.907,-200.427,12.629,-6.087,5.377,-0.109
-6.736,232.179,5.732,13.541,0.513,0.245
-142.021,147.741,-29.136,1.595,3.688,0.037
-136.523,99.164,3.820,3.369,4.251,0.187
149.396,-128.278,25.276,-4.439,-5.567,-0.091
158.191,143.096,-2.253,3.380,-4.177,-0.163
37.050,-227.621,30.258,-7.573,-1.045,0.581
-216.630,100.801,-17.908,4.161,8.491,0.391
101.491,124.291,67.159,2.699,-3.641,0.340
43.833,127.251,1.085,2.619,0.684,-0.080
127.172,-180.878,17.903,-9.071,-6.664,0.211
176.365,-5.747,58.381,-0.367,-3.020,-0.311
125.023,131.118,-5.568,2.313,-0.533,-0.075
-144.255,-106.747,14.711,-2.436,4.113,-0.403
49.978,114.598,-42.254,2.939,-2.312,-0.008
-154.408,166.712,-28.403,1.857,1.018,-0.213
-163.523,-157.293,-3.039,-7.239,7.783,0.176
-84.748,89.397,17.396,0.930,0.178,-0.531
73.357,183.582,1.174,4.878,-2.192,-0.427
170.319,-151.304,-23.760,-3.303,-3.402,0.059
232.984,-117.056,31.256,-3.676,-6.146,0.346
-69.999,-24.992,-78.078,-1.174,1.795,0.048
-9.330,-137.437,-14.872,-0.347,-0.234,-0.093
-120.489,-98.155,-18.851,-1.193,3.081,0.070
-172.201,164.939,-29.761,6.598,6.689,-0.183
161.108,167.327,3.111,6.697,-5.370,-0.050
-83.176,-246.502,23.997,-5.743,3.090,-0.004
86.286,190.038,-12.579,4.766,-1.955,0.388
-150.815,-135.553,-35.684,-2.536,1.918,0.142
-161.556,26.536,-44.655,0.368,4.264,0.130
-198.419,-47.023,24.517,-0.288,2.235,0.258
1.085,-88.307,33.081,-1.432,-0.848,-0.355
-181.961,127.633,-20.943,2.719,3.903,0.462
-123.979,225.534,-8.735,4.843,2.747,-0.017
126.166,-150.691,30.583,-3.387,-3.674,-0.675
60.063,186.054,-12.952,4.456,-2.365,-0.077
-177.606,-146.921,8.716,-5.734,7.226,0.174
-51.067,219.976,3.235,2.866,0.704,-0.015
155.397,-4.114,-21.779,-1.249,-3.395,0.159
-138.889,-173.809,17.282,-4.866,3.803,-0.145
-244.801,54.805,-11.468,0.427,3.075,0.019
-24.360,-123.205,-78.818,-0.923,0.696,0.317
-64.088,72.629,48.786,0.543,0.607,0.068
-109.289,199.965,-11.670,6.392,3.376,-0.095
80.615,-170.834,51.553,-5.420,-2.489,-0.408
-33.287,-12.528,-72.528,0.122,0.448,0.315
-8.757,193.487,-62.121,1.705,-0.439,0.241
184.148,124.866,3.430,7.321,-9.594,0.204
-169.798,-37.350,37.063,0.111,1.815,0.035
-75.981,226.596,22.396,7.305,2.477,0.284
-223.676,-113.775,-12.685,-3.073,3.875,-0.209
212.668,35.535,-26.369,0.528,-3.787,0.009
35.097,254.606,5.848,5.755,-0.229,0.140
131.483,45.711,-31.655,0.968,-2.304,0.103
151.268,52.167,52.370,1.435,-3.599,-0.423
196.103,118.560,28.044,0.969,-2.747,-0.057
-2.187,105.503,-72.090,1.193,-1.476,0.017
-9.783,210.259,1.665,3.228,0.545,-0.305
-114.385,-185.374,-4.393,-7.161,3.825,0.074
-20.159,257.987,12.044,5.223,-0.204,-0.109
-200.957,1.727,13.948,0.178,4.086,-0.003
-157.301,128.510,6.402,2.353,3.787,-0.370
-168.975,-142.950,-0.867,-3.184,3.898,0.055
172.583,-50.632,70.795,-0.701,-2.750,0.493
63.231,-241.515,1.476,-9.914,-3.102,0.113
2.816,219.864,-8.155,14.117,-0.960,0.088
237.709,-5.990,-9.796,0.258,-5.647,0.010
143.202,45.208,35.391,0.709,-1.748,0.005
-212.983,-114.945,-59.245,-0.911,2.797,0.085
-177.797,80.516,8.459,2.555,3.488,0.246
-152.237,159.836,-25.368,4.745,4.511,0.127
-130.422,-207.381,-22.941,-5.426,3.981,0.209
1.404,176.696,44.422,7.075,0.634,-0.260
-169.702,-94.603,41.104,-1.837,2.939,-0.074
-101.218,-93.341,1.119,-1.856,1.852,0.064
202.470,118.362,13.682,1.496,-3.191,0.025
-39.862,214.176,20.187,5.061,0.558,-0.400
160.136,33.915,42.746,1.234,-3.389,-0.031
-119.595,154.696,14.533,4.436,4.034,-0.331
-69.439,199.973,1.066,6.650,1.724,-0.342
5.651,212.060,-3.616,11.415,-0.470,0.210
-115.896,-188.453,-2.049,-2.594,1.150,-0.053
123.697,-142.678,-17.651,-4.039,-2.672,0.237
